Date,Slug,Usage,BYOK Usage,Requests,Prompt Tokens,Completion Tokens,Reasoning Tokens
"2026-01-01","meta-llama/llama-4-maverick","0.003914","0","40","1235","5272","0"
"2026-01-01","nvidia/nemotron-3-nano-30b-a3b:free","0","0","7","1591","7004","1582"
"2026-01-01","openai/gpt-5","0.09973","0","40","1020","9847","8951"
"2026-01-01","google/gemma-2-9b-it","0.00001","0","3","258","39","0"
"2026-01-01","google/gemini-3-flash-preview","5.273699","0","278","20177796","60894","21623"
"2026-01-01","deepseek/deepseek-r1-distill-llama-70b","0.021843","0","40","803","18246","15301"
"2026-01-01","anthropic/claude-haiku-4.5","0.014631","0","40","946","2737","0"
"2026-01-01","mistralai/codestral-2508","1.471354","0","886","2423711","827392","0"
"2026-01-01","google/gemma-3n-e4b-it","0.001537","0","298","17316","33664","0"
"2026-01-01","google/gemma-3-27b-it:free","0","0","6","1198","2686","0"
"2026-01-01","deepseek/deepseek-chat","0.007714","0","28","2213","5971","0"
"2026-01-01","deepseek/deepseek-r1-0528:free","0","0","47","2662","26401","18852"
"2026-01-01","google/gemini-2.5-flash","0.071781","0","200","3848","28283","0"
"2026-01-01","mistralai/mistral-small-3.2-24b-instruct","0.002086","0","40","853","4680","0"
"2026-01-01","deepseek/deepseek-r1-0528-qwen3-8b","0.002021","0","39","823","22085","18321"
"2026-01-01","meta-llama/llama-3.3-70b-instruct:free","0","0","51","42800","38868","0"
"2026-01-01","qwen/qwen3-next-80b-a3b-instruct","0.005985","0","40","1161","4974","0"
"2026-01-01","qwen/qwen-2.5-7b-instruct","0.000059","0","25","1388","76","0"
"2026-01-01","x-ai/grok-3","0.063605","0","40","1019","4053","0"
"2026-01-01","meta-llama/llama-4-scout","0.001946","0","40","1228","3961","0"
"2026-01-01","google/gemini-2.0-flash-001","0.004425","0","8","5518","6475","0"
"2026-01-01","meta-llama/llama-3.2-3b-instruct","0.000264","0","25","1436","866","0"
"2026-01-01","cohere/command-r7b-12-2024","0.000603","0","22","829","3902","0"
"2026-01-01","qwen/qwen3-30b-a3b-thinking-2507","0.007909","0","40","1207","23054","16547"
"2026-01-01","google/gemma-3-4b-it","0.001594","0","212","8323","16824","0"
"2026-01-01","mistralai/mistral-nemo","0.00052","0","154","6172","6050","0"
"2026-01-01","mistralai/mistral-7b-instruct","0.000181","0","25","1341","1945","0"
"2026-01-01","qwen/qwen3-coder:free","0","0","5","2068","769","0"
"2026-01-01","openai/gpt-5-nano","0.023421","0","120","3704","58230","55104"
"2026-01-01","nousresearch/hermes-3-llama-3.1-405b:free","0","0","7","3459","1781","0"
"2026-01-01","google/gemma-3-12b-it","0.001835","0","40","1142","6019","0"
"2026-01-01","google/gemma-3-27b-it","0.00179","0","41","1176","6112","0"
"2026-01-01","x-ai/grok-4.1-fast","0.013464","0","80","13720","25064","18179"
"2026-01-01","qwen/qwen3-8b","0.003868","0","40","1201","27354","22133"
"2026-01-01","openai/gpt-4o-mini","0.008599","0","240","6682","12858","0"
"2026-01-01","deepseek/deepseek-chat-v3.1","0.039913","0","240","6150","39104","0"
"2026-01-01","mistralai/mistral-small-3.1-24b-instruct","0.002839","0","40","853","4576","0"
"2026-01-01","deepseek/deepseek-v3.2","0.004358","0","40","742","6633","1510"
"2026-01-01","openai/gpt-4.1-nano","0","0","40","646","0","0"
"2026-01-01","google/gemini-2.5-pro","0.224789","0","40","638","22401","21312"
"2026-01-01","anthropic/claude-3.5-haiku","0.071283","0","240","6714","16503","0"
"2026-01-01","mistralai/mistral-small-3.1-24b-instruct:free","0","0","7","4109","2475","0"
"2026-01-01","qwen/qwen3-coder-30b-a3b-instruct","0.00091","0","40","1161","2954","0"
"2026-01-01","qwen/qwen3-32b","0.009516","0","40","1191","25120","19627"
"2026-01-01","meta-llama/llama-3.3-70b-instruct","0.005363","0","120","3938","9159","0"
"2026-01-01","x-ai/grok-4-fast","0.005089","0","40","6708","9260","6949"
"2026-01-01","google/gemini-2.0-flash-exp:free","0","0","20","13760","16886","0"
"2026-01-01","meta-llama/llama-3.1-8b-instruct","0.000244","0","43","1591","2859","0"
"2026-01-01","openai/gpt-oss-20b","0.009688","0","267","32134","66614","51689"
"2026-01-01","mistralai/mistral-medium-3.1","0.038106","0","120","2559","18564","0"
"2026-01-01","qwen/qwen3-14b","0.015022","0","120","3603","61824","45544"
"2026-01-01","openai/gpt-5-mini","0.066878","0","120","3704","32998","26707"
"2025-12-01","openai/text-embedding-3-small","0.057573","0","5068","3009644","0","0"
"2025-12-01","deepseek/deepseek-chat-v3-0324","0.000005","0","1","17","2","0"
"2025-12-01","baai/bge-base-en-v1.5","0.000034","0","14","7101","0","0"
"2025-12-01","x-ai/grok-4.1-fast:free","0","0","297","417277","366060","216911"
"2025-12-01","mistralai/codestral-2508","0.148467","0","96","149996","115010","0"
"2025-12-01","deepseek/deepseek-v3.2","2.290053","0","188","7770839","35719","9558"
"2025-12-01","mistralai/devstral-small","0.000075","0","2","129","220","0"
"2025-12-01","amazon/nova-2-lite-v1:free","0","0","3","341","370","0"
"2025-12-01","z-ai/glm-4.5-air:free","0","0","1","18","50","53"
"2025-12-01","openai/gpt-4o","0.133466","0","33","24451","7235","0"
"2025-12-01","qwen/qwen3-embedding-4b","0.00008","0","7","4083","0","0"
"2025-12-01","nex-agi/deepseek-v3.1-nex-n1:free","0","0","10","6113","741","0"
"2025-12-01","google/gemini-2.5-flash-preview-09-2025","0.00289","0","10","223","1131","0"
"2025-12-01","google/gemini-2.0-flash-exp:free","0","0","1","15","8","0"
"2025-12-01","openai/text-embedding-3-large","0.001161","0","21","9025","0","0"
"2025-12-01","intfloat/e5-large-v2","0.000069","0","14","7101","0","0"
"2025-12-01","qwen/qwen3-embedding-8b","0.257281","0","27751","24892166","0","0"
"2025-12-01","mistralai/devstral-2512:free","0","0","13","315","766","0"
"2025-12-01","google/gemini-2.0-flash-001","0.025819","0","50","70653","38787","0"
"2025-12-01","anthropic/claude-3.5-sonnet","0.04485","0","3","3280","839","0"
"2025-12-01","anthropic/claude-sonnet-4","0.000141","0","1","22","5","0"
"2025-12-01","baai/bge-large-en-v1.5","0.000069","0","14","7101","0","0"
"2025-12-01","deepseek/deepseek-v3.2-speciale","0.000421","0","8","193","880","822"
"2025-12-01","openai/gpt-oss-120b","0.000701","0","14","1200","1833","750"
"2025-12-01","z-ai/glm-4.6v","0.000742","0","5","156","780","710"
"2025-12-01","meta-llama/llama-3.3-70b-instruct","0.000365","0","13","429","602","0"
